,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
769242,Buchanania lanzan Spreng.,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Buchanania lanzan Spreng.,Buchanania lanzan Spreng.,Glycosmis,Buchanania
769243,Spondias elliptica Rottb. ex Hook.f.,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Buchanania lanzan Spreng.,Buchanania lanzan Spreng.,Glycosmis,Buchanania
769244,Buchanania latifolia Roxb.,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Buchanania lanzan Spreng.,Buchanania lanzan Spreng.,Glycosmis,Buchanania
769245,Lanzana solitaria Stokes,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Buchanania lanzan Spreng.,Buchanania lanzan Spreng.,Glycosmis,Buchanania
769246,Lundia mangiferoides Puerari ex DC.,Buchanania cochinchinensis (Lour.) M.R.Almeida,Buchanania cochinchinensis (Lour.) M.R.Almeida,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Glycosmis cochinchinensis (Lour.) Pierre ex Engl.,Buchanania lanzan Spreng.,Buchanania lanzan Spreng.,Glycosmis,Buchanania
774493,Celtis ituriensis De Wild.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Trema orientale (L.) Blume,Trema orientale (L.) Blume,Celtis,Trema
774494,Celtis fragifera A.Chev.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Celtis adolfi-friderici Engl.,Sparrea gomphophylla (Baker) X.G.Fu & T.S.Yi,Sparrea gomphophylla (Baker) X.G.Fu & T.S.Yi,Celtis,Sparrea
777716,Cicendia quitensis (Kunth) Griseb.,Cicendia quadrangularis (Lam.) Griseb.,Cicendia quadrangularis (Lam.) Griseb.,Cicendia quadrangularis (Lam.) Griseb.,Cicendia quadrangularis (Lam.) Griseb.,Zeltnera quitensis (Kunth) G.Mans.,Zeltnera quitensis (Kunth) G.Mans.,Cicendia,Zeltnera
781321,Ceanothus leschenaultii DC.,Colubrina asiatica (L.) Brongn.,Colubrina asiatica (L.) Brongn.,Colubrina asiatica (L.) Brongn.,Colubrina asiatica (L.) Brongn.,Trema orientale (L.) Blume,Trema orientale (L.) Blume,Colubrina,Trema
789861,Desmodium parviflorum f. yunnanense Pamp.,Desmodiastrum racemosum (Benth.) A.Pramanik & Thoth.,Desmodiastrum racemosum (Benth.) A.Pramanik & Thoth.,Desmodiastrum racemosum (Benth.) A.Pramanik & Thoth.,Desmodiastrum racemosum (Benth.) A.Pramanik & Thoth.,Leptodesmia microphylla var. microphylla,Leptodesmia microphylla (Thunb.) H.Ohashi & K.Ohashi,Desmodiastrum,Leptodesmia
796182,Ocotea endlicheriopsis Mez,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Ocotea endlicheriopsis Mez,Ocotea endlicheriopsis Mez,Endlicheria,Ocotea
796184,Endlicheria endlicheriopsis (Mez) Kosterm.,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Endlicheria canescens Chanderbali,Ocotea endlicheriopsis Mez,Ocotea endlicheriopsis Mez,Endlicheria,Ocotea
799209,Eruca stenocarpa Boiss. & Reut.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Erucastrum nasturtiifolium subsp. nasturtiifolium,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,Eruca,Erucastrum
801318,Sycopsis griffithiana Oliv.,Eustigma lenticellatum C.Y.Wu,Eustigma lenticellatum C.Y.Wu,Eustigma lenticellatum C.Y.Wu,Eustigma lenticellatum C.Y.Wu,Sycopsis griffithiana Oliv.,Sycopsis griffithiana Oliv.,Eustigma,Sycopsis
801654,Acacia aegyptiaca Baill.,Faidherbia albida (Delile) A.Chev.,Faidherbia albida (Delile) A.Chev.,Faidherbia albida (Delile) A.Chev.,Faidherbia albida (Delile) A.Chev.,Vachellia nilotica subsp. nilotica,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,Faidherbia,Vachellia
806470,Gentiana amarella subsp. chlorifolia (Nees) Arcang.,Gentianella germanica (Willd.) Börner,Gentianella germanica (Willd.) Börner,Gentianella germanica (Willd.) Börner,Gentianella germanica (Willd.) Börner,Gentiana × chlorifolia Nees,Gentiana × chlorifolia Nees,Gentianella,Gentiana
808282,Aillya umbellata var. procumbens (de Vriese) de Vriese,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Scaevola pulchella Carolin,Scaevola pulchella Carolin,Goodenia,Scaevola
808283,Aillya umbellata var. spathulata (de Vriese) de Vriese,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Goodenia filiformis R.Br.,Scaevola pulchella Carolin,Scaevola pulchella Carolin,Goodenia,Scaevola
810929,Haplanthus neilgherryensis Wight,Haplanthodes Kuntze,Haplanthodes Kuntze,Haplanthodes Kuntze,,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,,Haplanthodes
811121,Cereus serruliflorus Haw.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Serrulatocereus serruliflorus (Haw.) Guiggi,Serrulatocereus serruliflorus (Haw.) Guiggi,Harrisia,Serrulatocereus
811199,Hariota clavata var. deliculata (Loefgr.) A.Cast.,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Rhipsalis clavata F.A.C.Weber,Rhipsalis clavata F.A.C.Weber,Hatiora,Rhipsalis
811201,Hariota bambusoides var. delicatula (Loefgr.) A.Cast.,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Hatiora salicornoides (Haw.) Britton & Rose,Rhipsalis clavata F.A.C.Weber,Rhipsalis clavata F.A.C.Weber,Hatiora,Rhipsalis
811825,Helianthemum alyssoides subsp. cheiranthoides (Lam.) Nyman,Helianthemum syriacum (Jacq.) Dum.Cours.,Helianthemum syriacum (Jacq.) Dum.Cours.,Helianthemum syriacum (Jacq.) Dum.Cours.,Helianthemum syriacum (Jacq.) Dum.Cours.,Cistus × cheiranthoides Lam.,Cistus × cheiranthoides Lam.,Helianthemum,Cistus
813380,Heteropterys angustifolia f. lanceolata Nied.,Heteropterys glabra Hook. & Arn.,Heteropterys glabra Hook. & Arn.,Heteropterys glabra Hook. & Arn.,Heteropterys glabra Hook. & Arn.,Banisteriopsis laevifolia (A.Juss.) B.Gates,Banisteriopsis laevifolia (A.Juss.) B.Gates,Heteropterys,Banisteriopsis
815388,Pleurospermum lecomtianum H.Wolff,Hymenidium wilsonii (H.Boissieu) Pimenov & Kljuykov,Hymenidium wilsonii (H.Boissieu) Pimenov & Kljuykov,Hymenidium wilsonii (H.Boissieu) Pimenov & Kljuykov,Hymenidium wilsonii (H.Boissieu) Pimenov & Kljuykov,Pleurospermum lecomtianum H.Wolff,Pleurospermum lecomtianum H.Wolff,Hymenidium,Pleurospermum
815713,Ilex heterophylla G.Don,Ilex aquifolium L.,Ilex aquifolium L.,Ilex aquifolium L.,Ilex aquifolium L.,Osmanthus heterophyllus (G.Don) P.S.Green,Osmanthus heterophyllus (G.Don) P.S.Green,Ilex,Osmanthus
817870,Robinsonia melianthifolia Willd.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Touroulia guianensis Aubl.,Touroulia guianensis Aubl.,Quiina,Touroulia
822876,Connarus decumbens Thunb.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Lotononis triphylla (L.) Dorr,Lotononis triphylla (L.) Dorr,Leobordea,Lotononis
822898,Hermannia triphylla L.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Leobordea polycephala (E.Mey.) B.-E.van Wyk & Boatwr.,Lotononis triphylla (L.) Dorr,Lotononis triphylla (L.) Dorr,Leobordea,Lotononis
823856,Acrodiclidium guianense var. oppositifolium Meisn.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Licaria chrysophylla (Meisn.) Kosterm.,Licaria chrysophylla (Meisn.) Kosterm.,Dicypellium,Licaria
823860,Acrodiclidium guianense var. reticulatum Meisn.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Licaria polyphylla (Nees) Kosterm.,Licaria polyphylla (Nees) Kosterm.,Dicypellium,Licaria
823861,Acrodiclidium guianense Nees,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Licaria polyphylla (Nees) Kosterm.,Licaria polyphylla (Nees) Kosterm.,Dicypellium,Licaria
823863,Nectandra caudata Nees & Mart. ex Meisn.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Dicypellium caryophyllaceum (Mart.) Nees & Mart.,Licaria polyphylla (Nees) Kosterm.,Licaria polyphylla (Nees) Kosterm.,Dicypellium,Licaria
824817,Chenopodium acutifolium Kit. ex Schult.,"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",Chenopodium standleyanum Aellen,Chenopodium standleyanum Aellen,Lipandra,Chenopodium
824821,Chenopodium polyspermum var. spicatum Klett & Richt.,"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch","Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",Chenopodium standleyanum Aellen,Chenopodium standleyanum Aellen,Lipandra,Chenopodium
824855,Echinopsis dobeana (Dölz) J.G.Lamb.,Leucostele deserticola (Werderm.) Schlumpb.,Leucostele deserticola (Werderm.) Schlumpb.,Leucostele deserticola (Werderm.) Schlumpb.,Leucostele deserticola (Werderm.) Schlumpb.,Echinopsis aurea subsp. aurea,Echinopsis aurea Britton & Rose,Leucostele,Echinopsis
825014,Tournefortia earlei Britton,Myriopus stenophyllus (Urb.) Feuillet,Myriopus stenophyllus (Urb.) Feuillet,Myriopus stenophyllus (Urb.) Feuillet,Myriopus stenophyllus (Urb.) Feuillet,"Heliotropium earlei (Britton) Greuter, P.A.González & R.Rankin","Heliotropium earlei (Britton) Greuter, P.A.González & R.Rankin",Myriopus,Heliotropium
830610,Pyrus densiflora (Spach) Steud.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aria edulis (Willd.) M.Roem.,Aria edulis (Willd.) M.Roem.,Aronia,Aria
830613,Aronia densiflora Spach,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aria edulis (Willd.) M.Roem.,Aria edulis (Willd.) M.Roem.,Aronia,Aria
830624,Sorbus densiflora (Spach) Heynh.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aronia arbutifolia (L.) Pers.,Aria edulis (Willd.) M.Roem.,Aria edulis (Willd.) M.Roem.,Aronia,Aria
841315,Bredemeyera altissima var. mollis (Triana & Planch.) A.W.Benn.,Bredemeyera divaricata (DC.) J.F.B.Pastore,Bredemeyera divaricata (DC.) J.F.B.Pastore,Bredemeyera divaricata (DC.) J.F.B.Pastore,Bredemeyera divaricata (DC.) J.F.B.Pastore,Securidaca coriacea Bonpl.,Securidaca coriacea Bonpl.,Bredemeyera,Securidaca
847579,Peucedanum praeruptorum subsp. hirsutiusculum Ma,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Peucedanum harry-smithii var. harry-smithii,Peucedanum harry-smithii Fedde ex H.Wolff,Kitagawia,Peucedanum
847581,Peucedanum hirsutiusculum (Ma) V.M.Vinogr.,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Kitagawia praeruptora (Dunn) Pimenov,Peucedanum harry-smithii var. harry-smithii,Peucedanum harry-smithii Fedde ex H.Wolff,Kitagawia,Peucedanum
847648,Richella discostigma (Diels) R.E.Fr.,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis,Afroguatteria
847649,Oxymitra discostigma (Diels) Ghesq. ex Pellegr.,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis,Afroguatteria
847650,Friesodielsia discostigma (Diels) Steenis,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis,Afroguatteria
847651,Cleistopholis discostigma Diels,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis,Afroguatteria
847652,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Afroguatteria discostigma (Diels) X.Guo & R.M.K.Saunders,Monanthotaxis,Afroguatteria
857445,Centaurea carthamoides Chevall.,Centaurea albonitens Turrill,Centaurea albonitens Turrill,Centaurea albonitens Turrill,Centaurea albonitens Turrill,Phonus lanatus (L.) Hill,Phonus lanatus (L.) Hill,Centaurea,Phonus
859110,Vernonia floribunda Kunth,Vernonanthura patens (Kunth) H.Rob.,Vernonanthura patens (Kunth) H.Rob.,Vernonanthura patens (Kunth) H.Rob.,Vernonanthura patens (Kunth) H.Rob.,Critoniopsis floribunda (Kunth) H.Rob.,Critoniopsis floribunda (Kunth) H.Rob.,Vernonanthura,Critoniopsis
869632,Doronicum japonicum Lam.,Gynura japonica (Thunb.) Juel,Gynura japonica (Thunb.) Juel,Gynura japonica (Thunb.) Juel,Gynura japonica (Thunb.) Juel,Ligularia japonica var. japonica,Ligularia japonica (L.f.) Less. ex DC.,Gynura,Ligularia
869991,Senecio depilis Phil.,Dendrophorbium americanum (L.f.) C.Jeffrey,Dendrophorbium americanum (L.f.) C.Jeffrey,Dendrophorbium americanum (L.f.) C.Jeffrey,Dendrophorbium americanum (L.f.) C.Jeffrey,Acrisione denticulata var. denticulata,Acrisione denticulata (Hook. & Arn.) B.Nord.,Dendrophorbium,Acrisione
870207,Werneria ciliata Wedd. ex Sch.Bip.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Rockhausenia pectinata (Lingelsh.) D.J.N.Hind,Rockhausenia pectinata (Lingelsh.) D.J.N.Hind,Werneria ciliolata A.Gray,Werneria ciliolata A.Gray,Rockhausenia,Werneria
872500,Gnaphalium dealbatum var. luteofuscum (Webb) Lobin,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Vellereophyton,Pseudognaphalium
872501,Gnaphalium luteofuscum Webb,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Vellereophyton,Pseudognaphalium
872631,Gnaphalium lanatum G.Forst.,Euchiton involucratus (G.Forst.) Holub,Euchiton involucratus (G.Forst.) Holub,Euchiton involucratus (G.Forst.) Holub,Euchiton involucratus (G.Forst.) Holub,"Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange","Pseudognaphalium lanatum (G.Forst.) Smissen, Breitw. & de Lange",Euchiton,Pseudognaphalium
874425,Leysera pilosella Thunb.,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Afroaster hispidus (Thunb.) J.C.Manning & Goldblatt,Zyrphelis pilosella (Thunb.) Kuntze,Zyrphelis pilosella (Thunb.) Kuntze,Afroaster,Zyrphelis
886171,Eupatorium decipiens Hook. & Arn.,Ophryosporus triangularis Meyen,Ophryosporus triangularis Meyen,Ophryosporus triangularis Meyen,Ophryosporus triangularis Meyen,Heterocondylus decipiens (Hook. & Arn.) R.M.King & H.Rob.,Heterocondylus decipiens (Hook. & Arn.) R.M.King & H.Rob.,Ophryosporus,Heterocondylus
890629,Vittaria lunulata Roxb.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Nesolindsaea,Lindsaea
890631,Lindsaea scandens Hook.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Lindsaea scandens Hook.,Lindsaea scandens Hook.,Nesolindsaea,Lindsaea
890632,Vittaria parasitica Roxb.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Nesolindsaea,Lindsaea
890633,Lindsaea bipinnata Roxb.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Nesolindsaea caudata (Hook.) Lehtonen & Christenh.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Nesolindsaea,Lindsaea
891494,Lindsaea alexandri var. bipinnata Hillebr.,Asplenium dielerectum Viane,Asplenium dielerectum Viane,Asplenium dielerectum Viane,Asplenium dielerectum Viane,Lindsaea knudsenii Hillebr.,Lindsaea knudsenii Hillebr.,Asplenium,Lindsaea
891720,Trichomanes obtusum (Copel.) C.V.Morton,Hymenophyllum obtusum Hook. & Arn.,Hymenophyllum obtusum Hook. & Arn.,Hymenophyllum obtusum Hook. & Arn.,Hymenophyllum obtusum Hook. & Arn.,Trichomanes maximum Blume,Trichomanes maximum Blume,Hymenophyllum,Trichomanes
896062,Dryopteris strigosa (Willd.) C.Chr.,Ctenitis crinita (Poir.) Ching,Ctenitis crinita (Poir.) Ching,Ctenitis crinita (Poir.) Ching,Ctenitis crinita (Poir.) Ching,Thelypteris strigosa (Willd.) Tardieu,Thelypteris strigosa (Willd.) Tardieu,Ctenitis,Thelypteris
897528,Stenochlaena leptocarpa (Fée) Underw.,Lomariopsis spectabilis Mett.,Lomariopsis spectabilis Mett.,Lomariopsis spectabilis Mett.,Lomariopsis spectabilis Mett.,Teratophyllum leptocarpum (Fée) Holttum,Teratophyllum leptocarpum (Fée) Holttum,Lomariopsis,Teratophyllum
900148,Cyathea remotifolia Bonap.,Alsophila simulans Baker,Alsophila simulans Baker,Alsophila simulans Baker,Alsophila simulans Baker,Cyathea remotifolia Bonap.,Cyathea remotifolia Bonap.,Alsophila,Cyathea
906255,Cyathea nigrescens (Hook.) J.Sm.,Thelypteris woodlarkensis (Copel.) Christenh.,Thelypteris woodlarkensis (Copel.) Christenh.,Thelypteris woodlarkensis (Copel.) Christenh.,Thelypteris woodlarkensis (Copel.) Christenh.,Alsophila woodwardioides (Kaulf.) D.S.Conant,Alsophila woodwardioides (Kaulf.) D.S.Conant,Thelypteris,Alsophila
907977,Anemone soyensis H.Boissieu,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonoides soyensis (H.Boissieu) Holub,Anemonoides soyensis (H.Boissieu) Holub,Anemonastrum,Anemonoides
915538,Cytisus lotoides Pourr.,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus (L.) Link,Cytisus lotoides Pourr.,Cytisus lotoides Pourr.,Chamaecytisus,Cytisus
915545,Chamaecytisus supinus var. gallicus (A.Kern. ex Willk. & Lange) C.Vicioso,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus (L.) Link,Cytisus lotoides Pourr.,Cytisus lotoides Pourr.,Chamaecytisus,Cytisus
915552,Cytisus supinus var. gallicus (A.Kern. ex Willk. & Lange) Briq.,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus subsp. supinus,Chamaecytisus supinus (L.) Link,Cytisus lotoides Pourr.,Cytisus lotoides Pourr.,Chamaecytisus,Cytisus
915748,Cytisus benehoavensis (Bolle) Svent.,Cytisus scoparius subsp. scoparius,Cytisus scoparius subsp. scoparius,Cytisus scoparius subsp. scoparius,Cytisus scoparius (L.) Link,Convolvulus scoparius L.f.,Convolvulus scoparius L.f.,Cytisus,Convolvulus
917554,Nanophyton acutum (L.) Druce,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum (Pall.) Bunge,Polycnemum majus A.Braun ex Bogenh.,Polycnemum majus A.Braun ex Bogenh.,Nanophyton,Polycnemum
917564,Camphorosma acuta L.,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum subsp. erinaceum,Nanophyton erinaceum (Pall.) Bunge,Polycnemum majus A.Braun ex Bogenh.,Polycnemum majus A.Braun ex Bogenh.,Nanophyton,Polycnemum
918698,Sedum griffithii C.B.Clarke,Rosularia adenotricha subsp. adenotricha,Rosularia adenotricha subsp. adenotricha,Rosularia adenotricha subsp. adenotricha,Rosularia adenotricha (Wall. ex Edgew.) C.-A.Jansson,Sedum griffithii C.B.Clarke,Sedum griffithii C.B.Clarke,Rosularia,Sedum
922719,Olmedia grandifolia Trécul,Maquira guianensis subsp. guianensis,Maquira guianensis subsp. guianensis,Maquira guianensis subsp. guianensis,Maquira guianensis Aubl.,Perebea guianensis subsp. guianensis,Perebea guianensis Aubl.,Maquira,Perebea
927982,Abelmoschus palustris (L.) Walp.,Abelmoschus moschatus subsp. moschatus,Abelmoschus moschatus subsp. moschatus,Abelmoschus moschatus subsp. moschatus,Abelmoschus moschatus Medik.,Hibiscus moscheutos subsp. moscheutos,Hibiscus moscheutos L.,Abelmoschus,Hibiscus
931261,Cardamine nasturtiifolia Steud.,Cardamine pratensis subsp. pratensis,Cardamine pratensis subsp. pratensis,Cardamine pratensis subsp. pratensis,Cardamine pratensis L.,Rorippa bonariensis var. bonariensis,Rorippa bonariensis (Poir.) Macloskie,Cardamine,Rorippa
937526,Ilex ligustrina var. minutiflora (A.Rich.) Loes.,Ilex vomitoria subsp. vomitoria,Ilex vomitoria subsp. vomitoria,Ilex vomitoria subsp. vomitoria,Ilex vomitoria Aiton,Banara minutiflora (A.Rich.) Sleumer,Banara minutiflora (A.Rich.) Sleumer,Ilex,Banara
